Timestamp,Strategy,Ticker,Live_Price,Buy_Floor,Exit_Ceiling,Move_Pct,Zone_Start,Zone_End
2026-07-04 02:57:06,V20_Range_Breakout,BAJAJFINSV.NS,1895.6,1819.78,2236.81,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,ICICIBANK.NS,1411.4,1354.94,1665.45,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,VBL.NS,515.8,394.43,474.75,20.36%,2026-04-07,2026-04-17
2026-07-04 02:57:06,V20_Range_Breakout,ERIS.NS,1431.1,1091.34,1389.64,27.33%,2025-04-07,2025-04-11
2026-07-04 02:57:06,V20_Range_Breakout,VOLTAS.NS,1280.2,1125.16,1394.41,23.93%,2025-02-01,2025-02-03
2026-07-04 02:57:06,V20_Range_Breakout,M&M.NS,3136.9,3011.42,3701.54,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,CAMS.NS,798.35,874.48,1049.83,20.05%,2024-11-25,2024-12-05
2026-07-04 02:57:06,V20_Range_Breakout,CDSL.NS,1350.6,1296.58,1593.71,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,MCX.NS,2814.0,903.55,1187.07,31.38%,2025-04-07,2025-04-21
2026-07-04 02:57:06,V20_Range_Breakout,SANOFI.NS,3425.0,5620.1,10037.9,78.61%,2024-06-07,2024-06-13
2026-07-04 02:57:06,V20_Range_Breakout,NESTLEIND.NS,1459.8,1401.41,1722.56,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,BATAINDIA.NS,696.6,668.74,821.99,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,AWL.NS,191.11,183.47,225.51,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,ANGELONE.NS,352.25,228.45,284.2,24.40%,2026-04-01,2026-04-09
2026-07-04 02:57:06,V20_Range_Breakout,NAM-INDIA.NS,1218.2,304.5,369.14,21.23%,2023-10-09,2023-10-13
2026-07-04 02:57:06,V20_Range_Breakout,PIDILITIND.NS,1598.0,1534.08,1885.64,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,ITC.NS,289.95,278.35,342.14,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,HYUNDAI.NS,1993.4,1913.66,2352.21,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,UNITDSPR.NS,1393.3,1337.57,1644.09,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,ASTRAZEN.NS,8310.5,7793.36,9998.82,28.30%,2025-05-29,2025-06-05
2026-07-04 02:57:06,V20_Range_Breakout,ICICIPRULI.NS,485.25,465.84,572.59,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,ACC.NS,1393.8,1338.05,1644.68,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,MARUTI.NS,14366.0,13791.36,16951.88,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,KAJARIACER.NS,1202.3,945.5,1178.0,24.59%,2026-04-01,2026-04-15
2026-07-04 02:57:06,V20_Range_Breakout,RADICO.NS,3892.3,2710.0,3365.0,24.17%,2026-04-10,2026-04-20
2026-07-04 02:57:06,V20_Range_Breakout,HAVELLS.NS,1181.1,1373.11,1654.06,20.46%,2025-04-07,2025-04-22
2026-07-04 02:57:06,V20_Range_Breakout,APOLLOHOSP.NS,8893.5,8537.76,10494.33,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,JSWINFRA.NS,326.05,313.01,384.74,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,DABUR.NS,444.35,426.58,524.33,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,TCS.NS,2093.5,2009.76,2470.33,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,DMART.NS,3994.4,3685.1,4562.6,23.81%,2026-03-24,2026-04-06
2026-07-04 02:57:06,V20_Range_Breakout,ADANIPORTS.NS,1874.2,1799.23,2211.56,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,HCLTECH.NS,1139.0,1093.44,1344.02,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,BLUESTARCO.NS,1583.2,1581.5,1921.0,21.47%,2026-04-08,2026-04-20
2026-07-04 02:57:06,V20_Range_Breakout,DIXON.NS,12456.0,12749.33,16820.51,31.93%,2025-04-09,2025-04-22
2026-07-04 02:57:06,V20_Range_Breakout,PFIZER.NS,4568.6,4280.78,5692.32,32.97%,2025-05-19,2025-06-05
2026-07-04 02:57:06,V20_Range_Breakout,SBIN.NS,1040.0,998.4,1227.2,22.50%,2026-01-01,2026-01-15
